Город;Среднегодовая температура
Харбин, Китай;-38.1
Лонгйир, Норвегия;-46.3
Барроу, США;-47
Виннипег, Канада;-47.8
Йеллоунайф, Канада;-51
Дудинка, Россия;-61
Норильск, Россия;-64
Якутск, Россия;-64.4
Верхоянск, Россия;-67.7
Оймяков,Россия; -71.2
Токио;25
Шанхай(Китай);21
Дели(Индия);31
Стамбул(Турция);19
Тяньцзинь(Китай);18
Пекин(Китай);18
Мехико(Мексика);25
Манила(Филиппины);31
Каир(Египет);27
Чунцин(Китай);28
Эфиопия;29
Индонезия;30
Индия;32
Малайзия;28
Ямайка ;27
Бахрейн;35
Вьетнам;32
Объединенные АЭ;31
Ботсвана;32
Катар;28
